"NFT ID","Issuer","Taxon","Serial","Name","URI","CID","Owner","Schema","Description","Image","Image CID","External_link","Video","Video CID","Attribute Background","Attribute Body","Attribute Clothing","Attribute Mouth","Attribute Eyebrows","Attribute Eyes","Attribute Head","Attribute Accessory"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEF9978699049438DE","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822750","Let's Effing Go! #2003","https://lfgo.b-cdn.net/LFGO/2003/2003_33.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/2003/2003_33.png","","https://letseffinggo.com","","","Shattered Dreams","Straight Wood","Hoodie GO Punk","Determined","Questioning","Hypno","Egg Head","None"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BECBCBD897049438DC","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822748","Let's Effing Go! #2003","https://lfgo.b-cdn.net/LFGO/2003/2003_32.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/2003/2003_32.png","","https://letseffinggo.com","","","Colorsplosion","Straight Wood","Hoodie GO Punk","Determined","None","Wavy","Short Swept Blonde","None"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE9E003A95049438DA","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822746","Let's Effing Go! #2003","https://lfgo.b-cdn.net/LFGO/2003/2003_31.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/2003/2003_31.png","","https://letseffinggo.com","","","Colorsplosion","Straight Wood","Hoodie GO Punk","Determined","Evil Clown","Wavy","Short Swept Blonde","None"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE871A6D94049438D9","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822745","Let's Effing Go! #1320","https://lfgo.b-cdn.net/LFGO/1320/1320_29.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/1320/1320_29.png","","https://letseffinggo.com","https://lfgo.b-cdn.net/LFGO/1320/1320_29.mp4","","Moving Pink Clouds","Straight Diamond","Chucky Overalls","Casper","None","Trance","Crown","Cross Body Bag"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE70349C93049438D8","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822744","Let's Effing Go! #1320","https://lfgo.b-cdn.net/LFGO/1320/1320_28.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/1320/1320_28.png","","https://letseffinggo.com","https://lfgo.b-cdn.net/LFGO/1320/1320_28.mp4","","Moving Pink Clouds","Straight Diamond","Chucky Overalls","Casper","Evil Clown","Trance","Crown","Cross Body Bag"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE4268FE91049438D6","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822742","Let's Effing Go! #1320","https://lfgo.b-cdn.net/LFGO/1320/1320_27.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/1320/1320_27.png","","https://letseffinggo.com","https://lfgo.b-cdn.net/LFGO/1320/1320_27.mp4","","Moving Pink Clouds","Straight Diamond","Chucky Overalls","Casper","Evil Clown","Trance","Crown","Cross Body Bag"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE2B832190049438D5","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822741","Let's Effing Go! #659","https://lfgo.b-cdn.net/LFGO/659/659_9.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/659/659_9.png","","https://letseffinggo.com","","","Orange Grave","Straight Gold","Scarf","Monster","Ghost","Laser","Charizard Onesie","Devil Pitchfork"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE149D508F049438D4","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822740","Let's Effing Go! #1320","https://lfgo.b-cdn.net/LFGO/1320/1320_26.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/1320/1320_26.png","","https://letseffinggo.com","https://lfgo.b-cdn.net/LFGO/1320/1320_26.mp4","","Moving Pink Clouds","Straight Diamond","Chucky Overalls","Casper","Evil Clown","Trance","Crown","Cross Body Bag"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEFDB7838E049438D3","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822739","Let's Effing Go! #675","https://lfgo.b-cdn.net/LFGO/675/675_0.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","https://lfgo.b-cdn.net/LFGO/675/675_0.png","","https://letseffinggo.com","https://lfgo.b-cdn.net/LFGO/675/675_0.mp4","","Shattered Dreams","Straight Gold","Letterman Pink","Determined","Questioning","Hypno","Egg Head","Lightsaber Red"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE5D6EC887049438CC","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","76822732","Let's Effing Go! #1635","https://lfgo.b-cdn.net/LFGO/1635/1635_0.json","","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 1","https://lfgo.b-cdn.net/LFGO/1635/1635_0.png","","https://letseffinggo.com","","","Pastel Green","Straight Medium","Reaper Robe","Moustache Iridescent","Furious","Heartbreaks","Sombrero","Headphones"
