premiere_season,category,trait_name,trait_key,premiere_body_types,all_seasons_present,body_types_by_season,premiere_asset_count,representative_asset_path,all_premiere_asset_paths,source_paths,collapsed_variant_names
Season 1,Background,Blackhole,Background::blackhole,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Blackhole BLANK.png,Canonical Trait Media/Season 1/Female/Background/Blackhole BLANK.png | Canonical Trait Media/Season 1/Female/Background/Blackhole STATIC.png | Canonical Trait Media/Season 1/Male/Background/Blackhole.png | Canonical Trait Media/Season 1/Shared/Background/Blackhole.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Blackhole BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Blackhole BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Blackhole STATIC.png | ALL/1 MALE/S1 ALL/Background/Blackhole.png | ALL/SKELETON/Background/Blackhole BLANK.png | ANIMATIONS/S1 Backgrounds/Blackhole.mp4,Blackhole BLANK | Blackhole STATIC
Season 1,Background,Claw,Background::claw,Shared,Season 1,Season 1: Shared,1,Canonical Trait Media/Season 1/Shared/Background/Claw.png,Canonical Trait Media/Season 1/Shared/Background/Claw.png,FINAL EXPORT/0 - Backgrounds/Claw.png,
Season 1,Background,Claw Diamond,Background::claw diamond,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Claw Diamond BLANK.png,Canonical Trait Media/Season 1/Female/Background/Claw Diamond BLANK.png | Canonical Trait Media/Season 1/Female/Background/Claw Diamond STATIC.png | Canonical Trait Media/Season 1/Male/Background/Claw Diamond.png | Canonical Trait Media/Season 1/Shared/Background/Claw Diamond.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Claw Diamond BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Claw Diamond BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Claw Diamond STATIC.png | ALL/1 MALE/S1 ALL/Background/Claw Diamond.png | ALL/SKELETON/Background/Claw Diamond BLANK.png | ANIMATIONS/S1 Backgrounds/Claw Diamond.mp4,Claw Diamond BLANK | Claw Diamond STATIC
Season 1,Background,Claw Gold,Background::claw gold,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Claw Gold BLANK.png,Canonical Trait Media/Season 1/Female/Background/Claw Gold BLANK.png | Canonical Trait Media/Season 1/Female/Background/Claw Gold STATIC.png | Canonical Trait Media/Season 1/Male/Background/Claw Gold.png | Canonical Trait Media/Season 1/Shared/Background/Claw Gold.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Claw Gold BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Claw Gold BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Claw Gold STATIC.png | ALL/1 MALE/S1 ALL/Background/Claw Gold.png | ALL/SKELETON/Background/Claw Gold BLANK.png | ANIMATIONS/S1 Backgrounds/Claw Gold.mp4,Claw Gold BLANK | Claw Gold STATIC
Season 1,Background,Claw Silver,Background::claw silver,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Claw Silver BLANK.png,Canonical Trait Media/Season 1/Female/Background/Claw Silver BLANK.png | Canonical Trait Media/Season 1/Female/Background/Claw Silver STATIC.png | Canonical Trait Media/Season 1/Male/Background/Claw Silver.png | Canonical Trait Media/Season 1/Shared/Background/Claw Silver.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Claw Silver BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Claw Silver BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Claw Silver STATIC.png | ALL/1 MALE/S1 ALL/Background/Claw Silver.png | ALL/SKELETON/Background/Claw Silver BLANK.png | ANIMATIONS/S1 Backgrounds/Claw Silver.mp4,Claw Silver BLANK | Claw Silver STATIC
Season 1,Background,Claw Yellow,Background::claw yellow,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Claw Yellow BLANK.png,Canonical Trait Media/Season 1/Female/Background/Claw Yellow BLANK.png | Canonical Trait Media/Season 1/Female/Background/Claw Yellow STATIC.png | Canonical Trait Media/Season 1/Male/Background/Claw Yellow.png | Canonical Trait Media/Season 1/Shared/Background/Claw Yellow.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Claw Yellow BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Claw Yellow BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Claw Yellow STATIC.png | ALL/1 MALE/S1 ALL/Background/Claw Yellow.png | ALL/SKELETON/Background/Claw Yellow BLANK.png | ANIMATIONS/S1 Backgrounds/Claw Yellow.mp4,Claw Yellow BLANK | Claw Yellow STATIC
Season 1,Background,Clouds Blue,Background::clouds blue,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Clouds Blue.png,Canonical Trait Media/Season 1/Female/Background/Clouds Blue.png | Canonical Trait Media/Season 1/Male/Background/Clouds Blue.png | Canonical Trait Media/Season 1/Shared/Background/Clouds Blue.png | Canonical Trait Media/Season 1/Skeleton/Background/Clouds Blue.png,ALL/1 FEMALE/S1 ALL/Background/Clouds Blue.png | ALL/1 MALE/S1 ALL/Background/Clouds Blue.png | ALL/SKELETON/Background/Clouds Blue.png | FINAL EXPORT/0 - Backgrounds/Clouds Blue.png,
Season 1,Background,Clouds Gradient,Background::clouds gradient,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Clouds Gradient.png,Canonical Trait Media/Season 1/Female/Background/Clouds Gradient.png | Canonical Trait Media/Season 1/Male/Background/Clouds Gradient.png | Canonical Trait Media/Season 1/Shared/Background/Clouds Gradient.png | Canonical Trait Media/Season 1/Skeleton/Background/Clouds Gradient.png,ALL/1 FEMALE/S1 ALL/Background/Clouds Gradient.png | ALL/1 MALE/S1 ALL/Background/Clouds Gradient.png | ALL/SKELETON/Background/Clouds Gradient.png | FINAL EXPORT/0 - Backgrounds/Clouds Gradient.png,
Season 1,Background,Color Burst,Background::color burst,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Color Burst BLANK.png,Canonical Trait Media/Season 1/Female/Background/Color Burst BLANK.png | Canonical Trait Media/Season 1/Female/Background/Color Burst STATIC.png | Canonical Trait Media/Season 1/Male/Background/Color Burst.png | Canonical Trait Media/Season 1/Shared/Background/Color Burst.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Color Burst BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Color Burst BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Color Burst STATIC.png | ALL/1 MALE/S1 ALL/Background/Color Burst.png | ALL/SKELETON/Background/Color Burst BLANK.png | ANIMATIONS/S1 Backgrounds/Color Burst.mp4,Color Burst BLANK | Color Burst STATIC
Season 1,Background,Colorsplosion,Background::colorsplosion,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Colorsplosion.png,Canonical Trait Media/Season 1/Female/Background/Colorsplosion.png | Canonical Trait Media/Season 1/Male/Background/Colorsplosion.png | Canonical Trait Media/Season 1/Shared/Background/Colorsplosion.png | Canonical Trait Media/Season 1/Skeleton/Background/Colorsplosion.png,ALL/1 FEMALE/S1 ALL/Background/Colorsplosion.png | ALL/1 MALE/S1 ALL/Background/Colorsplosion.png | ALL/SKELETON/Background/Colorsplosion.png | FINAL EXPORT/0 - Backgrounds/Colorsplosion.png,
