NFT ID,Issuer,Taxon,Serial,Name,URI,CID,Owner,Schema,Description,Image,Image CID,External_link,Video,Video CID,Attribute Background,Attribute Body,Attribute Clothing,Attribute Mouth,Attribute Eyebrows,Attribute Eyes,Attribute Head,Attribute Accessory
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE2763249B049438E0,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822752,Let's Effing Go! #2003,https://lfgo.b-cdn.net/LFGO/2003/2003_34.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/2003/2003_34.png,,https://letseffinggo.com,,,Pastel Aqua,Straight Wood,Hoodie GO Punk,Determined,Questioning,Hypno,Egg Head,None
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE107D579A049438DF,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822751,Let's Effing Go! #1450,https://lfgo.b-cdn.net/LFGO/1450/1450_0.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/1450/1450_0.png,,https://letseffinggo.com,,,Shattered Dreams,Straight Medium,Shelby Suit,Irridescent,Questioning,Goggles,Paint Spill,Paddle
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEE2B1A998049438DD,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822749,Let's Effing Go! #675,https://lfgo.b-cdn.net/LFGO/675/675_1.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/675/675_1.png,,https://letseffinggo.com,https://lfgo.b-cdn.net/LFGO/675/675_1.mp4,,Colorsplosion,Straight Gold,Letterman Pink,Determined,None,Wavy,Short Swept Blonde,Lightsaber Red
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEB4E60B96049438DB,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822747,Let's Effing Go! #1320,https://lfgo.b-cdn.net/LFGO/1320/1320_30.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/1320/1320_30.png,,https://letseffinggo.com,https://lfgo.b-cdn.net/LFGO/1320/1320_30.mp4,,Moving Pink Clouds,Straight Diamond,Chucky Overalls,Casper,Evil Clown,Trance,Crown,Cross Body Bag
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE594ECF92049438D7,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822743,Let's Effing Go! #659,https://lfgo.b-cdn.net/LFGO/659/659_10.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/659/659_10.png,,https://letseffinggo.com,,,Orange Grave,Straight Gold,Scarf,Monster,Ghost,Laser,Charizard Onesie,Devil Pitchfork
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEE6D1B28D049438D2,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822738,Let's Effing Go! #67,https://lfgo.b-cdn.net/LFGO/67/67_2.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/67/67_2.png,,https://letseffinggo.com,https://lfgo.b-cdn.net/LFGO/67/67_2.mp4,,Moving Blue Clouds,Metal Skeleton,Gr0in Zip Up,None,None,None,Spikey Ginger,None
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BECFEBE58C049438D1,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822737,Let's Effing Go! #7,https://lfgo.b-cdn.net/LFGO/7/7_1.json,,rhA5i9dWtXprHXYiAzgUdRoyybGmfnV9Pj,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 2,https://lfgo.b-cdn.net/LFGO/7/7_1.png,,https://letseffinggo.com,https://lfgo.b-cdn.net/LFGO/7/7_1.mp4,,Blackhole,White Skeleton,AniMang,None,None,None,Bucket Hat Black,Rattie Grey
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEB906148B049438D0,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822736,Let's Effing Go! #305,https://lfgo.b-cdn.net/LFGO/305/305_1.json,,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 1,https://lfgo.b-cdn.net/LFGO/305/305_1.png,,https://letseffinggo.com,,,Shattered Dreams,Straight Light,Puffer Zebra,Smirk Confident,Strong,Aviators,Debonair,None
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BEA220478A049438CF,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822735,Let's Effing Go! #263,https://lfgo.b-cdn.net/LFGO/263/263_1.json,,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 1,https://lfgo.b-cdn.net/LFGO/263/263_1.png,,https://letseffinggo.com,,,Space Sunset,Straight Medium,August Tech Vest,My First Mustache,Raised,White,Short Spikey Black,None
00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE8B3A7689049438CE,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,1760,76822734,Let's Effing Go! #1635,https://lfgo.b-cdn.net/LFGO/1635/1635_1.json,,rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ,ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU,Season 1,https://lfgo.b-cdn.net/LFGO/1635/1635_1.png,,https://letseffinggo.com,,,Pastel Green,Straight Medium,Reaper Robe,Moustache Iridescent,Furious,Heartbreaks,Sombrero,None
